epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3779,1.41562,2.36913,1.59098,0.40977,0.38209,0.33925,0.14768,1.74857,2.7991,2.19249,0.000552417,0.000552417,0.000552417
2,189.384,1.56218,2.10744,1.71346,0.39446,0.40033,0.35423,0.16761,1.79952,2.52483,2.16584,0.00105323,0.00105323,0.00105323
3,273.99,1.60588,2.00607,1.75851,0.45006,0.46568,0.41362,0.19833,1.78508,2.31188,2.19568,0.00149904,0.00149904,0.00149904
4,360.248,1.60525,1.88292,1.75017,0.50522,0.36472,0.3599,0.15243,1.98575,2.65527,2.22044,0.00141945,0.00141945,0.00141945
5,441.197,1.52793,1.73261,1.69026,0.70335,0.5579,0.5977,0.31027,1.62902,1.77506,1.96032,0.00133693,0.00133693,0.00133693
6,520.719,1.48957,1.63595,1.66149,0.63298,0.57526,0.59383,0.29322,1.69596,1.65271,1.99801,0.00125442,0.00125442,0.00125442
7,600.941,1.44982,1.56825,1.62917,0.71054,0.6362,0.68213,0.35911,1.62266,1.43198,1.91175,0.0011719,0.0011719,0.0011719
8,689.136,1.40621,1.47311,1.59512,0.77792,0.60654,0.69323,0.38079,1.55717,1.36839,1.81626,0.00108938,0.00108938,0.00108938
9,776.276,1.38029,1.40612,1.56627,0.75287,0.65089,0.71202,0.39515,1.45778,1.30185,1.74702,0.00100687,0.00100687,0.00100687
10,863.999,1.35575,1.37204,1.54536,0.74754,0.63692,0.69153,0.39174,1.51648,1.30601,1.79022,0.000924352,0.000924352,0.000924352
11,1032.6,1.32631,1.23301,1.60103,0.79104,0.63838,0.71835,0.42703,1.45531,1.32036,1.73343,0.000841835,0.000841835,0.000841835
12,1110.35,1.2862,1.15691,1.56572,0.78942,0.66529,0.7333,0.44559,1.40367,1.19945,1.6939,0.000759318,0.000759318,0.000759318
13,1188.27,1.24731,1.06391,1.53325,0.84029,0.66373,0.76374,0.4622,1.3719,1.14326,1.64882,0.000676802,0.000676802,0.000676802
14,1266.22,1.18151,0.98658,1.47886,0.8067,0.71723,0.78307,0.49168,1.33921,1.07659,1.62568,0.000594286,0.000594286,0.000594286
15,1344.91,1.15988,0.93841,1.45322,0.81207,0.74327,0.79984,0.50559,1.31686,1.00987,1.61211,0.000511769,0.000511769,0.000511769
16,1423.07,1.11078,0.85793,1.41885,0.79503,0.69225,0.78134,0.48875,1.34466,1.06725,1.64255,0.000429253,0.000429253,0.000429253
17,1505.07,1.06416,0.81785,1.38022,0.80805,0.72711,0.79476,0.512,1.30602,1.0075,1.60861,0.000346736,0.000346736,0.000346736
18,1583.28,1.03622,0.75581,1.34748,0.88313,0.71837,0.81221,0.52569,1.29024,0.92715,1.60799,0.00026422,0.00026422,0.00026422
19,1661.55,1.00473,0.7222,1.32638,0.82992,0.73413,0.8076,0.52185,1.28825,0.92143,1.59439,0.000181703,0.000181703,0.000181703
20,1739.86,0.97245,0.69972,1.30666,0.87109,0.75169,0.82105,0.53415,1.25742,0.89502,1.56624,9.91865e-05,9.91865e-05,9.91865e-05
